candidate_id,age,gender,race,education_level,years_experience,skills_score,interview_score,referral,department,location,disability_status,veteran_status,hired
100065,44,Female,White,Masters,22,56,9,No,Sales,New York,None,No,No
100066,60,Male,Hispanic,PhD,30,76,2,No,Sales,Chicago,Sensory,No,Yes
100067,34,Female,White,High School,11,82,6,No,HR,San Francisco,None,No,No
100068,34,Male,Black,Masters,18,51,9,Yes,Marketing,Austin,None,No,Yes
100069,22,Male,White,Masters,10,52,9,No,HR,San Francisco,None,No,No
100070,46,Male,Hispanic,Bachelors,13,66,9,No,Marketing,Chicago,None,No,No
100071,47,Male,White,Masters,16,64,6,No,Finance,Chicago,None,No,Yes
100072,37,Male,Hispanic,High School,23,68,3,Yes,HR,San Francisco,None,Yes,Yes
100073,32,Female,White,Masters,20,52,6,No,Engineering,Remote,None,Yes,No
100074,37,Female,Black,Masters,2,60,7,No,Engineering,San Francisco,None,No,Yes
100075,29,Male,White,Bachelors,5,93,8,No,Finance,Austin,None,No,No
100076,39,Female,White,Bachelors,24,66,6,No,Marketing,Austin,None,No,No
100077,58,Male,Black,Bachelors,9,45,4,No,Finance,San Francisco,None,No,No
100078,24,Male,Asian,Bachelors,24,58,8,No,Marketing,Chicago,None,No,Yes
100079,42,Female,Other,Masters,28,83,7,No,HR,Austin,None,No,Yes
100080,59,Female,Hispanic,PhD,26,36,6,No,HR,San Francisco,None,No,No
100081,58,Male,White,PhD,23,52,8,No,Finance,Remote,None,No,Yes
100082,28,Male,Other,Masters,26,44,4,No,Engineering,Remote,None,No,No
100083,48,Female,White,Masters,25,37,7,No,HR,New York,Sensory,No,No
100084,30,Male,White,Bachelors,25,27,7,No,Sales,New York,None,No,No
100085,44,Female,White,Bachelors,8,32,7,No,Operations,Remote,None,No,No
100086,55,Male,Other,Masters,25,62,10,No,HR,Austin,None,No,Yes
100087,53,Female,White,High School,30,76,6,No,Finance,Remote,Physical,No,Yes
100088,28,Female,White,Bachelors,10,35,6,No,Sales,New York,Sensory,No,No
100089,41,Female,Hispanic,High School,16,83,3,No,Finance,Chicago,None,Yes,Yes
100090,61,Female,Other,Bachelors,28,73,5,Yes,Sales,New York,None,No,No
100091,48,Male,Hispanic,Masters,4,94,6,No,Operations,Chicago,None,No,Yes
100092,54,Male,White,High School,4,66,5,No,Engineering,Remote,None,No,No
100093,43,Male,Black,High School,28,45,7,No,Operations,San Francisco,None,No,Yes
100094,24,Female,Black,Masters,28,73,6,No,HR,San Francisco,None,No,No
100095,43,Female,White,Masters,26,62,8,No,Finance,Chicago,None,No,No
100096,43,Male,Other,Bachelors,19,46,8,Yes,HR,Remote,None,No,Yes
100097,29,Female,White,Bachelors,15,76,5,No,Sales,New York,None,No,Yes
100098,53,Male,Asian,High School,25,72,5,No,Operations,Austin,Sensory,No,Yes
100099,28,Male,Asian,PhD,29,50,6,Yes,Engineering,Austin,None,No,Yes
100100,57,Male,White,High School,12,65,5,No,HR,Remote,None,No,No
100101,39,Male,White,Bachelors,7,67,4,No,Sales,Remote,None,No,Yes
100102,53,Non-binary,White,Masters,11,87,5,Yes,Operations,Chicago,None,No,No
100103,35,Male,Asian,Masters,14,76,7,No,Marketing,Chicago,None,No,No
100104,36,Male,White,Bachelors,15,56,6,Yes,Engineering,New York,Physical,No,No
100105,58,Male,White,Masters,10,65,8,No,Finance,Remote,None,No,No
100106,30,Non-binary,Hispanic,Bachelors,25,83,8,No,Operations,San Francisco,None,No,Yes
100107,24,Female,White,High School,20,59,7,Yes,Marketing,Chicago,None,No,Yes
100108,49,Male,White,Bachelors,4,89,4,No,Finance,New York,None,Yes,Yes
100109,32,Female,Black,Masters,23,47,5,No,Finance,Chicago,None,No,Yes
100110,50,Male,White,Bachelors,9,51,9,No,HR,Austin,None,No,Yes
100111,59,Female,White,High School,14,83,7,No,Engineering,San Francisco,None,No,Yes
100112,62,Male,Black,Masters,0,78,8,No,Engineering,Chicago,None,No,Yes
100113,34,Male,White,Bachelors,18,58,6,No,Finance,Austin,None,No,Yes
100114,57,Male,Hispanic,Bachelors,13,52,4,Yes,Marketing,San Francisco,None,No,No
100115,49,Female,Black,PhD,13,57,10,Yes,Operations,New York,None,No,Yes
100116,39,Male,White,Bachelors,2,60,7,No,Marketing,Remote,None,No,Yes
100117,35,Female,White,Bachelors,15,51,5,No,Engineering,Remote,None,No,No
100118,24,Female,Black,Bachelors,17,67,7,No,HR,Chicago,None,No,No
100119,23,Female,White,Masters,27,52,9,Yes,HR,Chicago,None,No,Yes
100120,53,Male,White,Bachelors,3,88,10,No,HR,New York,None,No,Yes
100121,51,Female,Hispanic,High School,7,60,10,Yes,Marketing,New York,None,No,Yes
100122,32,Male,White,Masters,25,71,7,No,HR,Austin,None,No,No
100123,24,Male,White,Bachelors,6,84,5,No,Engineering,San Francisco,None,No,No
100124,56,Male,White,Masters,12,59,5,No,Marketing,San Francisco,None,No,No
100125,50,Male,Hispanic,PhD,0,86,6,No,Engineering,Chicago,None,No,Yes
100126,24,Female,White,High School,13,36,10,Yes,Marketing,San Francisco,None,No,Yes
100127,22,Male,White,Masters,3,71,5,No,HR,Chicago,None,No,Yes
100128,59,Male,White,Bachelors,26,66,5,No,Operations,New York,None,No,No
100129,22,Male,Hispanic,Bachelors,25,64,4,Yes,Finance,Austin,None,No,Yes
100130,42,Male,Black,Bachelors,12,75,8,Yes,Finance,Austin,None,No,No
100131,49,Male,White,High School,10,92,3,No,Sales,Austin,None,No,Yes
100132,56,Non-binary,Black,Masters,15,65,5,No,Operations,Remote,None,Yes,No
100133,38,Male,Black,Bachelors,4,85,5,No,Engineering,Austin,None,No,No
100134,39,Female,Hispanic,Masters,20,36,9,No,Operations,Remote,None,No,Yes
100135,50,Male,White,Masters,21,77,6,Yes,Engineering,New York,Cognitive,No,Yes
100136,27,Male,Asian,Masters,26,83,6,No,Operations,New York,Cognitive,No,Yes
100137,47,Non-binary,Hispanic,Bachelors,30,94,9,Yes,HR,New York,None,No,No
100138,62,Female,Black,Masters,20,72,5,No,Finance,Chicago,None,No,No
100139,52,Male,Hispanic,Masters,0,66,6,Yes,Sales,Austin,None,Yes,No
100140,30,Male,White,Bachelors,6,74,5,No,Sales,New York,None,No,No
100141,28,Female,Black,Bachelors,13,65,6,No,Sales,Austin,None,No,No
100142,23,Male,Asian,PhD,5,54,4,No,Finance,Remote,None,No,No
100143,42,Male,White,Bachelors,26,91,9,No,Marketing,New York,None,No,Yes
100144,43,Female,Hispanic,Masters,26,77,8,No,Sales,San Francisco,None,No,Yes
100145,58,Male,White,Bachelors,26,61,6,No,Marketing,Austin,None,No,No
100146,29,Non-binary,Hispanic,Bachelors,17,62,7,No,Engineering,New York,None,No,Yes
100147,47,Female,Hispanic,Masters,24,67,7,No,Operations,New York,None,No,No
100148,61,Female,White,High School,7,71,6,No,Engineering,Chicago,None,No,Yes
100149,27,Male,Hispanic,Bachelors,25,54,9,No,HR,Austin,None,No,Yes
100150,26,Female,Hispanic,Masters,16,32,9,Yes,Operations,New York,None,No,Yes
100151,49,Female,White,Masters,5,78,5,No,HR,Remote,None,No,No
100152,26,Male,White,High School,4,31,8,Yes,Operations,San Francisco,None,Yes,No
100153,40,Male,White,Masters,7,59,5,No,Marketing,New York,None,Yes,No
100154,55,Non-binary,White,Masters,16,85,8,No,HR,Chicago,None,No,No
100155,32,Male,White,PhD,10,25,5,No,Marketing,Chicago,None,No,No
100156,34,Male,Asian,PhD,26,88,4,No,Marketing,New York,None,No,Yes
100157,30,Male,White,Masters,11,55,6,Yes,Sales,New York,None,No,Yes
100158,58,Male,White,High School,18,51,8,No,Engineering,Chicago,None,No,Yes
100159,47,Non-binary,Black,Bachelors,13,26,3,No,Operations,Chicago,None,Yes,No
100160,46,Male,Black,Bachelors,3,32,5,Yes,Finance,New York,None,No,Yes
100161,59,Non-binary,Black,Bachelors,14,53,4,Yes,Engineering,San Francisco,None,No,No
100162,40,Female,Other,High School,17,87,3,No,HR,Austin,None,No,No
100163,35,Male,White,PhD,12,93,7,No,Marketing,Remote,None,No,Yes
100164,30,Female,Black,Masters,6,47,6,No,Operations,New York,None,No,No
100165,29,Female,Hispanic,PhD,23,59,5,Yes,Engineering,Chicago,None,No,Yes
100166,53,Female,White,Masters,25,44,3,No,Operations,San Francisco,None,No,Yes
100167,54,Female,White,Bachelors,4,79,8,No,Marketing,San Francisco,None,No,No
100168,35,Male,Asian,Bachelors,25,85,7,Yes,Engineering,Austin,None,No,Yes
100169,25,Female,Hispanic,High School,0,71,8,No,Engineering,San Francisco,None,No,No
100170,34,Female,Hispanic,Masters,24,100,9,Yes,HR,San Francisco,None,No,Yes
100171,38,Female,White,PhD,13,78,5,No,Sales,New York,None,No,Yes
100172,31,Female,White,Masters,16,63,7,Yes,Finance,New York,Sensory,No,No
100173,30,Male,Asian,Masters,4,53,1,No,Operations,Remote,None,No,No
100174,62,Female,White,PhD,4,68,10,No,HR,Chicago,None,No,Yes
100175,61,Male,White,Bachelors,6,14,9,No,Finance,Remote,Sensory,No,No
100176,29,Male,Black,Masters,23,67,6,No,HR,Remote,None,No,No
100177,37,Male,White,Bachelors,29,59,6,Yes,Marketing,San Francisco,None,No,Yes
100178,46,Female,Hispanic,PhD,15,49,5,No,Marketing,Remote,None,No,Yes
100179,25,Female,White,Bachelors,17,42,7,No,HR,Chicago,None,No,Yes
100180,38,Male,White,Bachelors,21,100,2,No,Marketing,Chicago,None,No,Yes
100181,57,Male,Hispanic,Bachelors,5,37,4,No,Sales,San Francisco,None,No,No
100182,24,Male,White,Masters,13,25,6,No,Finance,Remote,None,No,Yes
100183,62,Female,White,Bachelors,20,92,6,No,Operations,New York,None,No,No
100184,58,Female,White,Bachelors,24,91,4,No,Finance,Chicago,Physical,No,No
100185,45,Female,Asian,Bachelors,18,39,7,Yes,Finance,Chicago,None,No,Yes
100186,55,Non-binary,Asian,Bachelors,17,80,2,No,Operations,Austin,None,No,No
100187,45,Female,Asian,Bachelors,1,54,8,No,Engineering,San Francisco,None,No,No
100188,55,Female,Other,Masters,12,71,4,Yes,Finance,San Francisco,None,No,No
100189,37,Female,Hispanic,Masters,2,58,7,No,Engineering,Chicago,None,No,Yes
100190,48,Male,Black,Bachelors,5,75,3,No,Engineering,Remote,None,No,No
100191,61,Male,Black,Bachelors,20,74,7,No,Sales,Austin,Sensory,No,Yes
100192,43,Female,White,Bachelors,20,32,7,No,Sales,Remote,None,No,Yes
100193,43,Non-binary,Asian,Bachelors,13,60,6,No,Operations,Chicago,None,No,No
100194,48,Male,Hispanic,Masters,5,47,9,No,Operations,San Francisco,None,No,Yes
100195,26,Male,White,Bachelors,27,72,7,Yes,Finance,San Francisco,None,No,Yes
100196,32,Male,Hispanic,Masters,19,24,6,No,HR,Remote,None,No,No
100197,38,Male,Hispanic,Bachelors,12,72,6,No,Operations,New York,None,No,No
100198,54,Female,Black,High School,25,70,7,No,Marketing,Chicago,None,No,No
100199,54,Male,White,Bachelors,24,79,9,No,HR,San Francisco,None,No,Yes
100200,61,Female,Asian,Masters,23,76,4,Yes,Marketing,New York,None,No,Yes
100201,50,Male,Asian,Masters,17,59,8,No,HR,Remote,None,No,Yes
100202,54,Male,Asian,Masters,5,44,10,Yes,Marketing,Chicago,None,No,Yes
100203,34,Male,White,Masters,24,41,7,No,Engineering,San Francisco,None,No,Yes
100204,58,Male,White,High School,0,58,6,No,HR,Remote,Sensory,No,No
100205,39,Male,Asian,Bachelors,19,84,4,No,Marketing,Remote,None,No,Yes
100206,50,Female,White,Masters,8,46,8,No,Sales,New York,None,Yes,Yes
100207,34,Non-binary,Other,High School,4,51,3,No,Finance,Chicago,None,No,No
100208,54,Male,Asian,High School,27,59,6,No,Operations,San Francisco,Physical,No,Yes
100209,36,Female,White,Bachelors,29,59,7,No,Finance,Remote,None,No,Yes
100210,23,Male,Black,Bachelors,14,95,9,Yes,Finance,Remote,Cognitive,No,No
100211,47,Female,Hispanic,Masters,15,65,10,No,Sales,Chicago,None,No,No
100212,31,Male,Black,High School,29,58,4,No,Sales,San Francisco,None,No,No
100213,46,Male,Hispanic,PhD,15,93,9,No,Finance,Chicago,None,Yes,Yes
100214,53,Female,White,Bachelors,24,45,4,No,Marketing,Remote,None,Yes,No
100215,40,Male,Other,High School,0,45,9,No,Engineering,Remote,None,No,Yes
100216,28,Female,White,Bachelors,20,68,9,No,Marketing,Chicago,None,No,Yes
100217,50,Female,White,Masters,24,75,9,No,Marketing,Austin,None,No,No
100218,55,Male,Hispanic,High School,29,71,4,Yes,Sales,Chicago,None,No,No
100219,50,Male,Hispanic,Bachelors,29,66,7,Yes,Finance,New York,None,No,No
100220,33,Female,Black,Bachelors,30,83,8,Yes,Operations,New York,None,No,Yes
100221,36,Female,White,Masters,11,81,8,No,Finance,San Francisco,None,No,Yes
100222,60,Non-binary,White,High School,13,48,7,No,Sales,New York,None,No,Yes
100223,61,Female,Hispanic,PhD,11,52,5,No,Marketing,New York,None,No,Yes
100224,52,Male,White,Bachelors,7,98,6,No,Finance,Austin,None,No,Yes
100225,40,Female,White,Masters,18,74,8,No,Operations,Chicago,None,No,Yes
100226,55,Female,Other,Masters,8,74,8,No,Finance,Chicago,None,No,No
100227,56,Female,Asian,Bachelors,0,45,8,No,HR,Chicago,None,Yes,No
100228,49,Female,Asian,Masters,28,50,10,No,Sales,Austin,None,No,Yes
100229,29,Male,White,PhD,29,72,5,No,Operations,New York,None,No,No
100230,61,Male,White,Masters,15,79,8,No,Finance,Chicago,None,No,No
100231,42,Female,Hispanic,Bachelors,4,87,8,No,HR,San Francisco,None,No,No
100232,47,Male,White,High School,5,44,7,No,Finance,New York,None,No,Yes
100233,31,Female,White,PhD,30,66,6,No,Operations,San Francisco,None,No,Yes
100234,22,Male,Hispanic,Masters,8,66,10,No,HR,Austin,None,No,Yes
100235,32,Male,White,Bachelors,9,67,8,No,Finance,Austin,None,No,Yes
100236,27,Male,White,High School,8,70,9,Yes,Engineering,New York,None,No,No
100237,47,Male,White,Masters,1,71,8,No,Engineering,Austin,None,No,No
100238,51,Female,Asian,Bachelors,24,69,10,No,HR,Remote,None,No,No
100239,36,Female,Hispanic,Bachelors,7,57,5,No,Marketing,San Francisco,None,No,No
100240,41,Female,White,Masters,9,48,4,No,Finance,Austin,None,No,Yes
100241,61,Male,Hispanic,Masters,10,41,5,Yes,Finance,Chicago,None,No,No
100242,37,Female,Hispanic,Masters,19,73,8,Yes,Marketing,New York,Cognitive,No,Yes
100243,58,Male,White,Masters,22,66,6,No,Sales,Remote,None,No,Yes
100244,34,Male,White,Masters,15,91,3,No,Marketing,Remote,None,Yes,Yes
100245,60,Female,Black,Bachelors,26,74,7,No,Engineering,Austin,None,No,No
100246,58,Female,Asian,Masters,0,16,5,No,Finance,Chicago,None,No,No
100247,39,Male,White,Bachelors,26,43,7,No,Operations,Chicago,None,No,Yes
100248,62,Female,Hispanic,PhD,14,54,10,Yes,Sales,Austin,None,Yes,Yes
100249,60,Female,Hispanic,Masters,18,72,5,No,Operations,Remote,None,No,No
100250,61,Female,Hispanic,Masters,10,93,4,No,HR,San Francisco,None,No,Yes
100251,56,Male,Hispanic,Bachelors,24,67,2,Yes,Marketing,San Francisco,None,No,No
100252,57,Male,Hispanic,High School,2,83,6,No,Operations,Chicago,None,No,No
100253,32,Male,White,High School,27,79,7,No,Marketing,Austin,None,No,Yes
100254,31,Male,White,PhD,30,78,6,Yes,Sales,Remote,None,No,Yes
100255,44,Female,White,Bachelors,30,94,6,No,Marketing,Remote,None,No,Yes
100256,46,Female,Black,Masters,23,99,6,No,Engineering,Chicago,None,No,Yes
100257,55,Female,White,Masters,14,69,2,Yes,Sales,Remote,None,No,Yes
100258,56,Male,Asian,Masters,7,46,9,No,Finance,San Francisco,None,No,Yes
100259,50,Female,White,Bachelors,27,76,8,Yes,Sales,San Francisco,None,No,Yes
100260,45,Female,Asian,PhD,13,65,7,No,Sales,Chicago,None,No,Yes
100261,53,Male,Hispanic,Masters,24,58,3,No,Engineering,Remote,None,No,Yes
100262,30,Female,White,Masters,6,57,5,Yes,Engineering,Chicago,None,No,Yes
100263,52,Male,White,High School,29,54,9,Yes,Sales,Austin,None,No,No
100264,36,Female,White,Masters,20,65,10,Yes,HR,Remote,None,No,No
100265,39,Male,Black,Masters,13,94,3,No,HR,San Francisco,None,No,Yes
100266,49,Male,Hispanic,High School,2,60,8,Yes,Sales,Austin,None,No,No
100267,53,Male,Black,Masters,18,66,3,No,Sales,Chicago,None,No,Yes
100268,58,Male,Hispanic,Bachelors,14,50,4,No,Finance,San Francisco,None,No,No
100269,61,Female,Other,PhD,21,92,5,Yes,Marketing,Remote,None,No,Yes
100270,22,Female,White,Bachelors,8,57,7,No,Engineering,San Francisco,Cognitive,No,No
100271,57,Male,Hispanic,Bachelors,13,97,5,No,Operations,San Francisco,None,No,No
100272,32,Male,White,Masters,7,48,6,No,Finance,Austin,None,No,No
100273,30,Female,Hispanic,Bachelors,13,55,8,No,Engineering,Austin,None,No,Yes
100274,51,Male,White,Bachelors,0,57,6,Yes,Operations,Chicago,None,No,Yes
100275,57,Male,Other,Bachelors,12,53,6,No,HR,New York,None,No,No
100276,54,Non-binary,White,Bachelors,20,20,4,No,HR,Chicago,None,No,No
100277,46,Male,White,Bachelors,20,52,6,No,Marketing,Chicago,None,No,No
100278,47,Female,Asian,Masters,18,51,6,Yes,Engineering,Chicago,None,No,No
100279,57,Female,White,High School,16,50,9,Yes,Finance,Chicago,Physical,No,Yes
100280,53,Female,White,High School,8,67,5,No,Engineering,Remote,None,No,Yes
100281,54,Male,Asian,Masters,21,45,8,No,Operations,San Francisco,None,No,No
100282,53,Male,White,Bachelors,23,73,9,No,Marketing,San Francisco,Sensory,No,No
100283,24,Female,White,Bachelors,13,57,4,No,Marketing,Austin,None,No,No
100284,22,Male,Asian,PhD,7,92,6,No,Engineering,San Francisco,None,No,Yes
100285,24,Male,White,Masters,27,91,8,No,Engineering,New York,None,No,Yes
100286,58,Male,Hispanic,High School,2,54,6,No,HR,Austin,None,No,No
100287,52,Male,Hispanic,Masters,26,52,6,Yes,Operations,San Francisco,Physical,Yes,Yes
100288,60,Male,Hispanic,PhD,29,67,7,Yes,Marketing,New York,None,No,Yes
100289,46,Female,Black,High School,26,37,3,No,Operations,Chicago,Sensory,No,Yes
100290,46,Male,Asian,PhD,3,93,2,No,HR,Austin,None,No,Yes
100291,53,Male,White,Masters,22,37,4,No,Operations,San Francisco,None,No,Yes
100292,43,Female,Black,Bachelors,20,69,6,No,Engineering,Remote,None,Yes,No
100293,60,Male,Black,Bachelors,17,39,5,No,Sales,San Francisco,None,No,No
100294,54,Male,White,High School,19,84,8,No,Finance,San Francisco,None,No,Yes
100295,26,Male,Hispanic,Masters,10,61,8,No,Operations,Austin,None,No,No
100296,41,Male,Hispanic,High School,12,44,10,No,Engineering,New York,None,Yes,Yes
100297,43,Female,White,Masters,1,65,7,No,Finance,San Francisco,None,No,Yes
100298,55,Male,Black,Masters,7,67,6,No,Marketing,Chicago,Cognitive,No,No
100299,27,Female,Asian,PhD,26,60,6,Yes,Operations,Remote,None,No,No
100300,40,Female,White,Masters,13,83,5,No,Finance,New York,None,No,Yes
100301,34,Female,Asian,Bachelors,15,58,7,Yes,Finance,New York,None,No,No
100302,55,Male,White,Masters,11,85,7,No,Engineering,New York,None,No,Yes
100303,47,Male,White,High School,25,95,7,No,Marketing,Chicago,None,No,Yes
100304,45,Male,White,Bachelors,17,55,7,No,Marketing,New York,None,No,No
100305,28,Male,White,Bachelors,12,52,1,Yes,HR,San Francisco,None,No,Yes
100306,51,Female,White,Masters,5,59,6,Yes,Operations,Chicago,None,No,No
100307,45,Female,White,High School,15,83,3,No,HR,Chicago,None,No,No
100308,26,Female,Asian,Masters,17,49,5,No,Sales,Chicago,None,No,Yes
100309,50,Female,White,Masters,3,42,8,No,Operations,Remote,None,No,No
100310,48,Female,White,Bachelors,12,50,7,No,HR,Chicago,None,No,No
100311,52,Male,Black,Masters,21,81,6,No,Engineering,San Francisco,None,No,Yes
100312,53,Male,White,Masters,29,59,8,Yes,HR,Chicago,None,No,Yes
100313,52,Male,Black,Masters,7,31,5,No,Finance,Chicago,None,No,No
100314,58,Female,White,Masters,28,76,6,No,Marketing,Chicago,None,No,Yes
100315,48,Female,White,Bachelors,22,54,5,No,Finance,New York,None,No,No
100316,37,Non-binary,White,Bachelors,17,73,6,No,Finance,Austin,None,No,Yes
100317,43,Non-binary,White,Bachelors,18,72,8,Yes,Finance,Chicago,None,No,No
100318,31,Female,White,Bachelors,0,58,9,No,Marketing,San Francisco,None,No,No
100319,56,Male,White,Bachelors,5,68,7,Yes,HR,New York,Sensory,No,No
100320,43,Male,White,Bachelors,1,46,5,No,Engineering,Chicago,None,No,No
100321,54,Non-binary,Asian,High School,5,81,5,No,Sales,Remote,None,No,Yes
100322,24,Male,White,High School,12,82,6,Yes,Operations,New York,None,No,Yes
100323,34,Male,White,PhD,10,79,9,No,Operations,New York,Physical,No,Yes
100324,44,Female,Asian,Bachelors,1,60,7,Yes,Sales,Austin,None,No,No
100325,62,Female,White,Masters,3,73,5,Yes,Engineering,Austin,None,No,No
100326,52,Female,Black,Bachelors,5,66,5,No,Sales,Austin,None,No,No
100327,58,Female,White,Bachelors,19,54,9,No,Marketing,San Francisco,None,No,No
100328,49,Female,Other,Masters,14,92,6,No,Sales,New York,None,No,No
100329,58,Non-binary,Black,Bachelors,24,52,5,No,Sales,Remote,None,No,No
100330,39,Male,Asian,PhD,30,54,10,No,Engineering,San Francisco,None,No,Yes
100331,62,Non-binary,Hispanic,PhD,15,25,6,No,Marketing,San Francisco,None,No,No
100332,35,Female,White,Bachelors,30,60,6,No,Sales,Remote,None,No,No
100333,23,Male,White,Masters,8,64,7,No,Finance,New York,None,No,No
100334,62,Female,White,Masters,0,58,5,No,HR,San Francisco,None,No,Yes
100335,38,Male,Asian,Bachelors,25,48,10,No,Sales,New York,None,No,Yes
100336,58,Non-binary,Hispanic,Masters,21,79,5,No,Sales,Remote,None,No,Yes
100337,30,Female,Hispanic,Bachelors,29,34,8,No,HR,San Francisco,None,No,Yes
100338,33,Female,White,Bachelors,22,34,10,No,Engineering,San Francisco,None,No,No
100339,60,Female,Black,Bachelors,0,69,4,No,Finance,San Francisco,None,No,No
100340,62,Female,White,High School,2,66,6,Yes,HR,Chicago,Cognitive,Yes,No
100341,26,Male,White,High School,25,70,5,Yes,Finance,San Francisco,None,No,No
