Gender,Age,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Religion,Caste_Category,loan_approved
Male,21,Yes,0,Graduate,No,3112,3999,115,360,Clear,Semiurban,Hindu,SC,Approved
Female,23,No,3+,Not_Graduate,No,3925,0,173,60,Clear,Rural,Muslim,OBC,Approved
Male,24,No,0,Graduate,Yes,11038,0,171,60,Clear,Rural,Muslim,OBC,Rejected
Male,38,No,1,Graduate,No,10409,0,30,120,Defaulted,Semiurban,Hindu,General,Rejected
Male,40,No,1,Graduate,No,1000,0,239,240,Clear,Rural,Hindu,General,Approved
Female,54,Yes,3+,Graduate,Yes,6977,0,113,120,Clear,Rural,Hindu,SC,Approved
Female,31,Yes,0,Not_Graduate,No,6357,2887,129,240,Clear,Urban,Christian,SC,Approved
Male,45,No,0,Not_Graduate,No,4915,0,302,60,Clear,Semiurban,Sikh,OBC,Approved
Female,21,Yes,1,Graduate,Yes,2707,3375,128,180,Defaulted,Urban,Sikh,SC,Rejected
Male,58,Yes,2,Graduate,Yes,2120,1471,161,240,Unknown,Semiurban,Hindu,General,Approved
Male,32,Yes,3+,Graduate,No,2423,651,260,60,Clear,Semiurban,Other,General,Approved
Male,44,No,2,Graduate,No,6496,0,189,180,Clear,Semiurban,Hindu,OBC,Approved
Female,24,No,3+,Graduate,No,3357,0,112,360,Unknown,Rural,Muslim,OBC,Approved
Male,34,No,3+,Not_Graduate,No,3697,0,162,180,Clear,Rural,Sikh,General,Approved
Male,31,No,0,Graduate,No,7787,0,149,180,Unknown,Semiurban,Hindu,ST,Approved
Male,36,Yes,3+,Graduate,No,7900,984,337,180,Clear,Semiurban,Sikh,ST,Approved
Male,63,Yes,1,Not_Graduate,No,1000,1343,265,60,Clear,Semiurban,Muslim,SC,Rejected
Male,28,Yes,2,Graduate,No,9683,981,32,360,Defaulted,Rural,Hindu,SC,Rejected
Male,57,Yes,0,Graduate,No,11785,1480,80,360,Clear,Rural,Muslim,General,Approved
Female,35,Yes,2,Not_Graduate,No,3013,1511,20,300,Clear,Urban,Hindu,OBC,Rejected
Male,51,Yes,3+,Graduate,No,7883,3308,94,360,Defaulted,Semiurban,Sikh,ST,Rejected
Male,30,Yes,1,Graduate,No,6815,1918,189,120,Clear,Urban,Hindu,SC,Approved
Male,56,Yes,3+,Graduate,No,7292,2132,141,360,Clear,Urban,Hindu,OBC,Approved
Male,35,Yes,2,Graduate,No,3168,2953,185,360,Defaulted,Urban,Muslim,General,Rejected
Female,60,No,1,Graduate,Yes,7364,0,92,60,Clear,Semiurban,Hindu,SC,Approved
Male,26,No,0,Graduate,No,8158,0,59,360,Clear,Semiurban,Hindu,SC,Approved
Female,49,Yes,1,Graduate,No,6437,2460,58,300,Clear,Semiurban,Hindu,General,Approved
Male,57,No,1,Graduate,No,4836,0,20,180,Clear,Urban,Hindu,ST,Approved
Male,27,Yes,1,Not_Graduate,No,1000,413,168,180,Clear,Rural,Muslim,SC,Rejected
Male,59,Yes,1,Not_Graduate,No,8185,2884,39,180,Unknown,Urban,Hindu,OBC,Rejected
Female,60,Yes,1,Graduate,No,1000,4686,80,300,Clear,Rural,Hindu,ST,Approved
Male,47,No,1,Not_Graduate,No,7124,0,245,360,Unknown,Rural,Hindu,OBC,Rejected
Male,59,No,1,Not_Graduate,No,1000,0,255,120,Defaulted,Rural,Muslim,OBC,Rejected
Female,57,Yes,0,Graduate,Yes,10348,2796,236,120,Clear,Urban,Sikh,SC,Rejected
Male,59,Yes,1,Not_Graduate,No,5735,4443,155,60,Clear,Rural,Hindu,General,Rejected
Male,47,Yes,1,Not_Graduate,Yes,1910,1047,152,180,Clear,Semiurban,Hindu,General,Approved
Female,23,Yes,0,Graduate,No,6065,2962,212,60,Defaulted,Urban,Hindu,OBC,Approved
Female,60,Yes,3+,Graduate,Yes,7125,322,114,240,Clear,Rural,Christian,General,Rejected
Other,28,Yes,0,Graduate,No,11300,2907,116,60,Defaulted,Rural,Christian,OBC,Rejected
Male,33,Yes,2,Graduate,No,5872,714,147,300,Clear,Urban,Christian,General,Approved
Male,43,No,3+,Graduate,No,5189,0,115,60,Clear,Rural,Muslim,ST,Approved
Male,59,Yes,0,Not_Graduate,No,2886,3869,76,360,Clear,Urban,Other,OBC,Rejected
Female,42,No,2,Graduate,No,3877,0,136,60,Clear,Rural,Hindu,General,Approved
Male,23,Yes,0,Graduate,No,1680,2023,219,180,Clear,Semiurban,Hindu,OBC,Approved
Male,48,Yes,0,Graduate,No,3602,0,175,120,Clear,Semiurban,Sikh,SC,Approved
Female,35,Yes,2,Graduate,No,5945,1623,238,180,Clear,Urban,Hindu,OBC,Approved
Male,38,Yes,3+,Not_Graduate,No,5033,882,192,360,Clear,Urban,Sikh,General,Approved
Male,52,No,3+,Graduate,No,14865,0,152,120,Clear,Urban,Hindu,General,Approved
Male,34,No,1,Graduate,No,5196,0,211,60,Clear,Rural,Muslim,ST,Approved
Male,22,Yes,2,Graduate,No,5652,2580,121,60,Unknown,Rural,Muslim,General,Rejected
Male,55,No,0,Not_Graduate,No,8691,0,125,240,Unknown,Semiurban,Muslim,General,Rejected
Male,48,No,1,Not_Graduate,No,1000,0,179,360,Clear,Urban,Muslim,OBC,Approved
Male,50,No,1,Graduate,No,10519,0,169,60,Clear,Semiurban,Muslim,SC,Rejected
Male,60,Yes,3+,Not_Graduate,No,1069,2002,264,240,Clear,Rural,Muslim,General,Approved
Male,59,No,0,Graduate,No,7396,0,255,300,Clear,Rural,Hindu,ST,Rejected
Male,27,Yes,0,Not_Graduate,Yes,1000,4290,163,240,Defaulted,Semiurban,Christian,ST,Approved
Female,36,Yes,2,Not_Graduate,No,7148,1179,141,60,Clear,Urban,Christian,SC,Approved
Male,63,Yes,1,Graduate,No,14258,1993,92,300,Clear,Rural,Hindu,OBC,Approved
Male,30,No,1,Graduate,No,5812,0,166,180,Clear,Urban,Other,OBC,Approved
Male,29,Yes,1,Graduate,No,6800,0,124,120,Unknown,Rural,Hindu,SC,Approved
Female,36,No,3+,Graduate,No,1000,0,440,360,Clear,Rural,Hindu,SC,Approved
Female,22,No,3+,Graduate,No,8660,0,106,180,Unknown,Rural,Christian,General,Approved
Male,37,Yes,1,Graduate,No,3430,6302,91,300,Unknown,Rural,Hindu,SC,Approved
Female,21,No,1,Graduate,No,5169,0,85,240,Clear,Urban,Christian,ST,Approved
Male,25,No,2,Not_Graduate,No,5292,0,199,180,Clear,Rural,Christian,SC,Rejected
Male,61,No,2,Graduate,No,17782,0,203,180,Clear,Rural,Hindu,OBC,Approved
Male,23,Yes,1,Graduate,No,2451,3878,246,180,Clear,Rural,Hindu,ST,Approved
Male,40,Yes,0,Not_Graduate,No,7143,3091,110,240,Unknown,Semiurban,Hindu,OBC,Rejected
Male,35,No,1,Not_Graduate,No,4036,0,264,360,Unknown,Semiurban,Muslim,OBC,Rejected
Male,36,Yes,1,Graduate,No,12852,3509,130,180,Clear,Urban,Other,ST,Approved
Male,29,No,3+,Graduate,No,1000,0,247,240,Unknown,Rural,Hindu,ST,Rejected
Male,64,No,3+,Not_Graduate,No,6129,0,246,60,Clear,Semiurban,Hindu,OBC,Rejected
Female,25,Yes,1,Graduate,No,8232,2122,214,60,Clear,Semiurban,Hindu,OBC,Approved
Female,50,Yes,1,Not_Graduate,No,4917,2284,205,240,Defaulted,Urban,Other,General,Rejected
Female,64,Yes,3+,Graduate,No,6035,0,87,60,Clear,Semiurban,Hindu,General,Approved
Female,33,Yes,0,Graduate,No,7342,2263,220,120,Clear,Semiurban,Muslim,General,Approved
Female,60,No,0,Graduate,No,7466,0,80,360,Clear,Urban,Christian,SC,Rejected
Male,61,Yes,3+,Graduate,No,15150,0,201,60,Unknown,Urban,Muslim,OBC,Approved
Male,43,Yes,3+,Graduate,No,13638,1413,226,120,Clear,Rural,Hindu,General,Approved
Male,60,Yes,0,Graduate,Yes,12005,3618,211,180,Clear,Semiurban,Muslim,OBC,Rejected
Female,32,No,3+,Not_Graduate,Yes,3876,0,141,60,Unknown,Rural,Muslim,OBC,Approved
Male,58,Yes,2,Graduate,No,1000,2955,154,180,Unknown,Semiurban,Hindu,OBC,Approved
Male,58,Yes,3+,Not_Graduate,No,8471,0,202,360,Clear,Semiurban,Sikh,General,Rejected
Female,48,No,2,Graduate,No,6911,0,162,180,Defaulted,Rural,Sikh,SC,Approved
Male,61,No,3+,Graduate,Yes,2211,0,112,180,Clear,Urban,Christian,ST,Approved
Female,48,Yes,0,Not_Graduate,No,4068,2598,273,180,Clear,Rural,Hindu,ST,Rejected
Male,23,Yes,2,Graduate,No,6742,3522,201,120,Defaulted,Semiurban,Other,General,Rejected
Female,44,Yes,3+,Graduate,Yes,6078,4407,191,300,Clear,Rural,Christian,General,Approved
Male,47,No,3+,Graduate,No,9419,0,180,240,Clear,Rural,Hindu,OBC,Approved
Male,30,Yes,2,Not_Graduate,No,5141,2928,180,360,Clear,Rural,Sikh,ST,Approved
Female,50,Yes,1,Not_Graduate,Yes,3157,1968,93,300,Clear,Semiurban,Other,SC,Approved
Female,57,Yes,2,Graduate,No,9246,1221,123,180,Clear,Urban,Christian,SC,Approved
Male,33,Yes,2,Not_Graduate,Yes,6206,1254,20,300,Clear,Semiurban,Muslim,General,Rejected
Female,56,Yes,1,Not_Graduate,No,4741,2303,192,360,Unknown,Rural,Hindu,SC,Approved
Female,50,No,2,Not_Graduate,No,5073,0,256,60,Unknown,Rural,Muslim,SC,Rejected
Male,21,Yes,0,Graduate,No,14572,3564,133,120,Clear,Semiurban,Hindu,ST,Approved
Female,26,Yes,0,Not_Graduate,No,3408,2406,142,60,Unknown,Urban,Other,General,Rejected
Male,41,Yes,0,Graduate,No,13372,0,245,60,Clear,Semiurban,Muslim,SC,Approved
Male,45,Yes,1,Graduate,No,6323,1889,204,300,Defaulted,Semiurban,Muslim,OBC,Rejected
Male,33,No,1,Graduate,No,8486,0,75,240,Clear,Rural,Christian,General,Approved
Male,26,Yes,0,Graduate,No,10516,2546,204,240,Clear,Urban,Muslim,General,Approved
Male,58,No,3+,Graduate,No,11402,0,151,240,Clear,Rural,Sikh,OBC,Approved
Female,62,Yes,1,Graduate,No,1000,0,288,360,Clear,Rural,Hindu,OBC,Approved
Female,26,Yes,2,Graduate,Yes,2411,168,95,120,Defaulted,Urban,Hindu,General,Rejected
Male,54,Yes,3+,Not_Graduate,No,1374,3868,112,360,Clear,Semiurban,Hindu,SC,Rejected
Other,30,No,0,Graduate,No,7891,0,211,240,Clear,Semiurban,Muslim,General,Approved
Female,51,No,1,Graduate,No,7977,0,200,180,Unknown,Semiurban,Muslim,General,Rejected
Other,61,Yes,1,Not_Graduate,No,3139,2475,117,60,Unknown,Semiurban,Hindu,OBC,Approved
Male,29,Yes,0,Not_Graduate,No,6034,3900,75,360,Clear,Rural,Hindu,OBC,Rejected
Female,58,No,3+,Graduate,No,2475,0,201,360,Clear,Semiurban,Hindu,ST,Approved
Male,24,No,2,Graduate,No,12607,0,20,180,Clear,Rural,Muslim,OBC,Approved
Male,55,Yes,3+,Graduate,Yes,5006,2432,130,240,Clear,Semiurban,Hindu,General,Approved
Male,26,Yes,1,Graduate,No,8951,3048,259,300,Clear,Rural,Christian,SC,Rejected
Male,32,Yes,0,Graduate,No,9677,3057,88,120,Defaulted,Urban,Muslim,OBC,Approved
Male,39,No,1,Graduate,No,6636,0,149,360,Clear,Semiurban,Hindu,SC,Approved
Female,59,Yes,0,Graduate,No,1000,3045,96,120,Clear,Semiurban,Muslim,SC,Approved
Male,24,No,3+,Graduate,No,13817,0,131,180,Clear,Urban,Other,General,Approved
Female,53,Yes,0,Graduate,No,3589,1489,165,60,Clear,Rural,Hindu,General,Approved
Female,40,Yes,1,Graduate,No,4385,1231,161,300,Unknown,Semiurban,Hindu,ST,Approved
Female,65,No,2,Graduate,No,9789,0,269,240,Clear,Urban,Christian,OBC,Approved
Female,31,No,1,Not_Graduate,No,8317,0,204,120,Clear,Semiurban,Christian,ST,Approved
Male,38,Yes,0,Graduate,No,5122,4884,180,300,Defaulted,Urban,Hindu,OBC,Approved
Female,56,No,1,Graduate,No,10540,0,156,300,Clear,Semiurban,Hindu,OBC,Rejected
Male,30,Yes,1,Graduate,No,7422,2003,201,120,Unknown,Urban,Muslim,OBC,Approved
Male,45,No,0,Not_Graduate,Yes,3571,0,27,240,Clear,Semiurban,Hindu,ST,Rejected
Male,37,No,1,Graduate,No,4890,0,219,240,Clear,Semiurban,Muslim,SC,Rejected
Male,30,No,2,Graduate,No,8358,0,89,180,Defaulted,Urban,Sikh,OBC,Rejected
Male,29,Yes,1,Not_Graduate,No,9103,427,265,240,Defaulted,Rural,Muslim,ST,Rejected
Female,60,No,1,Not_Graduate,No,4889,0,106,120,Defaulted,Urban,Hindu,OBC,Rejected
Female,64,Yes,1,Graduate,No,4906,3018,139,240,Clear,Rural,Other,SC,Rejected
Male,52,Yes,1,Graduate,No,17174,3289,226,240,Clear,Urban,Hindu,OBC,Approved
Male,42,No,2,Not_Graduate,No,1714,0,196,60,Clear,Urban,Hindu,General,Approved
Male,28,Yes,1,Not_Graduate,No,3600,0,60,60,Clear,Semiurban,Muslim,SC,Rejected
Male,56,No,3+,Graduate,No,9321,0,20,360,Clear,Rural,Hindu,General,Approved
Male,52,No,1,Graduate,No,5810,0,147,240,Clear,Rural,Other,ST,Approved
Female,55,No,0,Graduate,No,8781,0,113,300,Clear,Urban,Hindu,OBC,Approved
Other,58,No,3+,Graduate,No,4604,0,143,120,Clear,Rural,Hindu,SC,Rejected
Female,24,Yes,3+,Not_Graduate,No,8862,3735,119,360,Unknown,Semiurban,Hindu,OBC,Approved
Male,30,Yes,3+,Graduate,No,12556,855,177,360,Clear,Semiurban,Sikh,General,Approved
Male,56,No,0,Not_Graduate,No,5432,0,232,240,Clear,Semiurban,Muslim,OBC,Rejected
Female,53,No,2,Not_Graduate,No,7312,0,185,120,Clear,Urban,Hindu,OBC,Approved
Male,31,Yes,1,Graduate,No,7041,3118,183,300,Defaulted,Semiurban,Hindu,General,Rejected
Male,56,No,3+,Graduate,No,4446,0,127,120,Defaulted,Rural,Hindu,ST,Rejected
Male,60,No,1,Graduate,No,2475,0,25,60,Defaulted,Rural,Hindu,SC,Approved
Male,57,Yes,2,Graduate,Yes,13268,525,144,180,Clear,Urban,Hindu,OBC,Approved
Other,55,No,1,Graduate,No,7573,0,173,180,Clear,Rural,Hindu,General,Rejected
Female,45,Yes,0,Graduate,No,3270,4464,166,180,Defaulted,Semiurban,Hindu,SC,Approved
Female,42,Yes,3+,Graduate,No,5587,759,193,120,Clear,Rural,Other,OBC,Approved
Male,35,Yes,0,Graduate,No,8924,0,141,180,Clear,Semiurban,Hindu,General,Approved
Female,45,Yes,0,Graduate,Yes,1000,0,179,240,Clear,Semiurban,Sikh,SC,Approved
Female,57,Yes,1,Graduate,No,2209,3866,79,360,Unknown,Urban,Hindu,SC,Rejected
Female,35,No,0,Graduate,No,9480,0,152,60,Clear,Urban,Muslim,SC,Rejected
Male,43,Yes,0,Graduate,No,3958,429,186,180,Clear,Urban,Hindu,OBC,Rejected
Male,34,Yes,1,Not_Graduate,No,3500,5422,245,60,Clear,Rural,Hindu,ST,Rejected
Other,53,Yes,0,Not_Graduate,No,6992,4590,242,300,Clear,Urban,Hindu,OBC,Approved
Male,39,Yes,3+,Graduate,No,8500,1364,28,60,Clear,Urban,Hindu,OBC,Approved
Male,26,No,0,Not_Graduate,No,2651,0,114,120,Clear,Rural,Sikh,SC,Approved
Female,44,Yes,1,Graduate,No,5618,2067,197,240,Unknown,Semiurban,Hindu,OBC,Rejected
Male,52,Yes,3+,Graduate,No,10826,5461,177,240,Clear,Semiurban,Sikh,SC,Approved
Male,52,Yes,0,Not_Graduate,No,2693,0,137,180,Clear,Semiurban,Muslim,OBC,Rejected
Male,41,Yes,2,Graduate,No,9217,3581,96,360,Clear,Urban,Hindu,OBC,Approved
Male,48,Yes,1,Graduate,No,1000,2470,155,120,Clear,Urban,Sikh,General,Approved
Male,32,Yes,2,Graduate,Yes,6418,3516,170,120,Clear,Urban,Hindu,OBC,Approved
Male,30,Yes,3+,Graduate,No,7421,333,82,180,Clear,Rural,Hindu,OBC,Rejected
Female,29,No,3+,Graduate,No,3733,0,104,180,Clear,Semiurban,Christian,OBC,Approved
Male,64,No,3+,Graduate,No,7466,0,134,120,Clear,Rural,Christian,General,Approved
Male,36,Yes,1,Graduate,No,2856,1517,69,120,Defaulted,Rural,Hindu,ST,Rejected
Female,58,Yes,2,Graduate,No,4036,4278,295,180,Clear,Semiurban,Muslim,General,Rejected
Male,56,No,1,Graduate,No,5078,0,84,240,Defaulted,Rural,Muslim,General,Rejected
Male,35,Yes,1,Not_Graduate,No,3356,1048,122,60,Unknown,Urban,Other,SC,Rejected
Male,65,Yes,0,Graduate,No,3665,3758,83,240,Unknown,Urban,Other,ST,Rejected
Male,46,Yes,2,Graduate,No,7337,2568,268,120,Clear,Urban,Hindu,SC,Approved
Male,34,Yes,2,Graduate,No,6022,0,206,300,Clear,Urban,Other,ST,Approved
Female,63,No,2,Not_Graduate,No,5180,0,201,300,Unknown,Urban,Hindu,SC,Rejected
Male,26,No,2,Not_Graduate,No,4524,0,203,300,Clear,Rural,Muslim,ST,Rejected
Female,24,Yes,2,Graduate,No,3511,2336,166,180,Clear,Rural,Hindu,SC,Approved
Female,57,No,1,Not_Graduate,No,5095,0,179,300,Clear,Rural,Christian,OBC,Approved
Male,55,Yes,0,Graduate,No,10598,3618,189,300,Clear,Urban,Muslim,OBC,Approved
Male,59,Yes,3+,Not_Graduate,No,6840,1201,113,360,Defaulted,Semiurban,Hindu,OBC,Rejected
Male,33,Yes,0,Graduate,No,4291,4492,143,60,Clear,Rural,Other,OBC,Approved
Male,48,Yes,1,Graduate,No,6935,0,207,60,Unknown,Urban,Christian,General,Approved
Male,64,Yes,2,Graduate,No,3862,2911,140,300,Clear,Rural,Muslim,General,Rejected
Male,35,Yes,2,Graduate,Yes,3092,0,20,360,Clear,Semiurban,Hindu,General,Approved
Male,27,No,0,Graduate,No,2971,0,190,60,Clear,Rural,Muslim,General,Rejected
