defendant_id,age,sex,race,prior_offenses,offense_severity,employment_status,education,marital_status,substance_abuse,mental_health,neighborhood_crime_rate,bail_amount,time_served_months,recidivism_risk,low_risk_approved
300048,69,Male,Black,2,Misdemeanor,Employed,No_HS,Divorced,No,No,71.2,5350,36,High,No
300049,37,Female,White,3,Felony_Mid,Self-employed,High_School,Married,Yes,Yes,66.1,4849,22,Medium,No
300050,18,Female,Black,12,Misdemeanor,Employed,No_HS,Married,No,Yes,18.6,2149,15,High,No
300051,50,Male,White,2,Felony_Low,Employed,High_School,Widowed,No,No,61.6,10430,32,High,No
300052,42,Female,Other,0,Misdemeanor,Part-time,High_School,Divorced,No,No,5.5,12847,8,High,No
300053,36,Male,Other,11,Misdemeanor,Unemployed,High_School,Divorced,No,No,7,3581,55,High,No
300054,50,Male,Black,9,Misdemeanor,Employed,Bachelors,Married,Yes,No,56.2,3976,43,High,No
300055,59,Male,White,5,Felony_High,Self-employed,Bachelors,Single,No,No,63.1,2656,15,High,No
300056,39,Female,Black,1,Felony_Mid,Employed,Some_College,Widowed,Yes,Yes,7.7,500,29,Medium,No
300057,59,Female,Black,12,Felony_Low,Self-employed,Bachelors,Married,No,No,9.4,6056,47,High,No
300058,35,Male,Hispanic,10,Felony_High,Employed,Some_College,Married,No,No,62,1722,55,High,No
300059,55,Male,Hispanic,11,Felony_Mid,Self-employed,High_School,Widowed,No,No,68.6,11130,51,High,No
300060,70,Male,Black,1,Misdemeanor,Employed,High_School,Single,No,Yes,32.4,500,31,High,Yes
300061,20,Male,White,8,Felony_Mid,Unemployed,No_HS,Married,Yes,No,75.8,2890,47,High,No
300062,45,Male,Black,11,Felony_Mid,Part-time,High_School,Single,No,Yes,59.7,6482,13,High,No
300063,46,Male,White,1,Misdemeanor,Self-employed,No_HS,Married,No,No,41.2,3669,32,High,No
300064,35,Male,White,4,Misdemeanor,Self-employed,Some_College,Single,Yes,No,39.2,11138,17,High,No
300065,33,Male,Hispanic,7,Misdemeanor,Part-time,Graduate,Married,No,No,0.5,500,54,Medium,No
300066,30,Male,Asian,5,Misdemeanor,Unemployed,High_School,Widowed,No,No,41.8,2450,45,High,No
300067,20,Male,White,2,Misdemeanor,Employed,Some_College,Married,No,No,30.9,3169,58,Low,No
300068,53,Female,Black,9,Felony_Mid,Part-time,Bachelors,Widowed,No,No,48,13253,30,High,No
300069,58,Male,Hispanic,3,Felony_Low,Employed,Bachelors,Divorced,No,Yes,43.5,2634,55,Medium,No
300070,50,Male,White,9,Misdemeanor,Self-employed,Some_College,Single,No,No,27.3,14184,21,Medium,No
300071,54,Male,White,10,Misdemeanor,Employed,Some_College,Single,No,Yes,44.5,7108,42,High,No
300072,46,Male,Hispanic,5,Misdemeanor,Employed,High_School,Widowed,No,Yes,89.2,6392,38,High,No
300073,58,Male,White,9,Felony_Low,Unemployed,High_School,Divorced,No,No,57.6,7418,8,High,No
300074,48,Male,Asian,11,Felony_Low,Employed,Some_College,Single,Yes,No,30.7,3278,25,High,No
300075,54,Male,Asian,1,Felony_Low,Unemployed,High_School,Single,No,No,44.6,6183,40,Medium,No
300076,38,Female,Hispanic,6,Misdemeanor,Unemployed,Bachelors,Married,No,No,86.9,4981,48,High,No
300077,22,Male,Hispanic,0,Felony_Low,Unemployed,Bachelors,Single,Yes,No,61.5,12691,46,High,No
300078,63,Male,Hispanic,4,Felony_Low,Employed,High_School,Widowed,Yes,No,96.7,3172,42,High,No
300079,35,Male,Black,8,Felony_High,Part-time,Bachelors,Married,No,No,70.5,3344,19,High,No
300080,48,Male,Hispanic,4,Felony_Low,Part-time,High_School,Single,No,No,36.7,4629,28,High,No
300081,48,Male,Black,1,Felony_Low,Self-employed,Some_College,Divorced,No,No,22.4,7060,37,High,No
300082,41,Female,Other,0,Misdemeanor,Part-time,High_School,Married,Yes,No,68,7183,33,Medium,Yes
300083,54,Female,Hispanic,9,Felony_Low,Employed,Some_College,Widowed,Yes,No,49.6,500,13,Medium,No
300084,48,Male,Black,0,Felony_Low,Employed,Some_College,Divorced,Yes,Yes,49.2,5497,16,High,No
300085,45,Female,Asian,12,Felony_Mid,Employed,High_School,Single,No,No,24.4,500,41,High,No
300086,19,Male,Hispanic,9,Felony_Low,Self-employed,No_HS,Widowed,Yes,No,30.2,4484,14,High,No
300087,49,Male,Hispanic,3,Felony_Low,Unemployed,Some_College,Divorced,Yes,No,23.3,5084,6,High,No
300088,43,Male,Hispanic,9,Misdemeanor,Part-time,Graduate,Widowed,No,No,49,6973,40,High,No
300089,55,Male,White,6,Misdemeanor,Part-time,Graduate,Widowed,No,No,4.3,2910,54,High,No
300090,56,Male,Hispanic,9,Felony_Mid,Unemployed,Graduate,Widowed,No,No,39.4,500,24,High,No
300091,59,Female,Hispanic,10,Felony_Low,Part-time,Graduate,Married,No,No,0,5499,9,High,No
300092,30,Female,White,0,Felony_High,Employed,Bachelors,Divorced,No,No,56.8,7534,40,High,No
300093,66,Male,Hispanic,11,Misdemeanor,Employed,High_School,Divorced,No,No,38.2,1440,6,High,No
300094,58,Male,Black,10,Misdemeanor,Employed,High_School,Married,Yes,No,46.4,2203,26,High,No
300095,40,Male,Hispanic,12,Felony_Mid,Employed,Some_College,Divorced,No,No,65.3,2013,36,High,No
300096,43,Male,White,3,Misdemeanor,Employed,High_School,Married,No,No,66,1957,30,Medium,No
300097,23,Male,Black,1,Felony_Low,Self-employed,Bachelors,Married,No,No,84,2896,39,Low,Yes
300098,28,Female,Black,6,Felony_Mid,Unemployed,Bachelors,Widowed,No,No,32.6,5063,16,High,No
300099,27,Male,Hispanic,4,Felony_High,Employed,Some_College,Single,Yes,No,11.1,8745,5,High,No
300100,62,Male,White,4,Felony_Low,Unemployed,Some_College,Single,No,Yes,73.3,5053,42,High,No
300101,66,Female,Black,12,Felony_Low,Employed,Bachelors,Single,No,No,69.8,2122,12,High,No
300102,37,Female,Other,12,Felony_High,Part-time,High_School,Widowed,Yes,No,46.6,1028,12,High,No
300103,51,Female,Hispanic,2,Felony_Low,Employed,Bachelors,Single,No,No,14.4,2333,41,High,No
300104,39,Female,Asian,3,Felony_Low,Employed,No_HS,Divorced,No,No,51.1,500,15,Medium,Yes
300105,70,Male,Hispanic,7,Felony_High,Part-time,Bachelors,Widowed,No,No,63.1,7254,56,High,No
300106,18,Male,Asian,3,Felony_Low,Employed,Some_College,Widowed,Yes,No,40.1,6777,4,High,No
300107,48,Female,Black,10,Felony_Low,Part-time,High_School,Widowed,No,Yes,106.8,926,36,Medium,No
300108,53,Male,White,5,Felony_Mid,Unemployed,No_HS,Married,No,No,15.2,2552,12,High,No
300109,20,Male,White,5,Misdemeanor,Part-time,Graduate,Widowed,Yes,No,49.4,500,15,High,No
300110,36,Male,Black,9,Felony_Low,Self-employed,Graduate,Divorced,No,Yes,55.6,7229,56,High,No
300111,64,Male,Black,7,Misdemeanor,Employed,High_School,Divorced,Yes,No,87,2232,41,High,No
300112,39,Male,White,2,Felony_High,Employed,Some_College,Widowed,No,No,52.1,5616,60,High,No
300113,54,Female,White,2,Misdemeanor,Employed,Some_College,Divorced,No,No,36.6,1180,23,High,No
300114,52,Female,Asian,5,Felony_Low,Part-time,Graduate,Widowed,No,No,54.7,3394,59,Medium,Yes
300115,60,Male,White,3,Felony_High,Employed,Graduate,Divorced,No,No,41.2,10294,59,High,No
300116,24,Female,Black,5,Misdemeanor,Employed,Bachelors,Single,No,No,34.6,500,42,High,No
300117,23,Male,White,1,Felony_High,Employed,Bachelors,Widowed,Yes,Yes,53.7,8006,45,High,No
300118,40,Male,White,8,Felony_Low,Unemployed,High_School,Divorced,Yes,No,15.6,7781,37,High,No
300119,54,Male,White,1,Felony_High,Unemployed,High_School,Single,Yes,No,14.5,7193,49,High,No
300120,22,Male,White,7,Misdemeanor,Part-time,No_HS,Married,No,No,44,1987,1,High,No
300121,33,Male,Hispanic,3,Misdemeanor,Employed,Some_College,Married,No,No,38.8,5544,40,High,No
300122,57,Male,Hispanic,10,Misdemeanor,Employed,Graduate,Single,No,No,64.4,8068,17,High,No
300123,39,Male,White,10,Felony_High,Employed,High_School,Divorced,No,No,98.3,5245,58,High,No
300124,35,Male,Hispanic,11,Felony_High,Unemployed,Some_College,Divorced,No,No,58.8,8240,51,High,No
300125,21,Male,White,10,Felony_High,Employed,No_HS,Married,No,No,46.1,6829,33,High,No
300126,53,Female,White,7,Felony_Mid,Unemployed,High_School,Single,Yes,No,38.6,3390,25,High,No
300127,60,Male,White,4,Felony_Low,Unemployed,Graduate,Widowed,No,No,34.7,4123,1,High,No
300128,27,Male,White,7,Felony_High,Employed,Some_College,Single,No,Yes,48.3,4776,12,High,No
300129,25,Male,White,6,Misdemeanor,Part-time,No_HS,Single,No,No,47.8,3181,4,High,No
300130,48,Male,Other,11,Misdemeanor,Employed,Some_College,Single,No,No,0,1632,53,Medium,No
300131,59,Male,Black,8,Misdemeanor,Unemployed,Bachelors,Married,No,No,87.8,6949,15,High,No
300132,18,Male,White,5,Felony_Low,Unemployed,High_School,Divorced,No,No,59.7,3765,5,High,No
300133,29,Male,Black,10,Felony_Mid,Unemployed,Graduate,Married,No,Yes,17.4,5885,22,High,No
300134,56,Male,Asian,10,Misdemeanor,Part-time,High_School,Divorced,No,No,73.7,500,13,Medium,No
300135,70,Male,Hispanic,8,Misdemeanor,Self-employed,Bachelors,Widowed,No,Yes,5.6,5686,52,High,No
300136,68,Male,Black,0,Misdemeanor,Employed,Bachelors,Divorced,No,No,117.4,9217,5,High,No
300137,50,Male,Hispanic,3,Felony_Mid,Self-employed,Graduate,Married,No,Yes,46.1,7606,28,Medium,No
300138,63,Male,Black,2,Felony_Mid,Part-time,Graduate,Married,No,No,71.1,1985,23,High,No
300139,26,Male,Hispanic,9,Felony_Mid,Unemployed,Some_College,Married,No,No,50.1,6871,55,High,No
300140,50,Male,White,8,Misdemeanor,Unemployed,Bachelors,Single,Yes,No,37.8,5044,56,High,No
300141,43,Male,White,12,Misdemeanor,Employed,Graduate,Widowed,No,No,51.3,3659,35,Low,Yes
300142,49,Male,White,3,Felony_Low,Employed,No_HS,Widowed,No,No,70.9,500,46,Medium,No
300143,43,Male,White,0,Felony_Low,Employed,Bachelors,Married,Yes,No,30,500,16,Medium,Yes
300144,40,Male,Black,5,Felony_High,Unemployed,Some_College,Divorced,No,No,57,9857,23,High,No
300145,50,Male,Black,4,Felony_Mid,Self-employed,Bachelors,Single,No,Yes,103.3,9893,23,Medium,No
300146,61,Male,White,2,Felony_Low,Employed,No_HS,Single,No,No,50,7083,1,High,No
300147,42,Male,White,5,Felony_Low,Employed,Some_College,Single,No,No,67.8,7474,57,High,No
300148,19,Female,White,1,Misdemeanor,Part-time,No_HS,Single,Yes,No,56.7,5487,56,Medium,Yes
300149,64,Male,White,3,Misdemeanor,Part-time,No_HS,Divorced,Yes,No,67.7,9847,12,High,No
300150,26,Male,White,7,Felony_Mid,Self-employed,High_School,Widowed,No,No,64.1,2684,25,High,No
300151,51,Female,Hispanic,4,Misdemeanor,Self-employed,Bachelors,Widowed,No,No,33,504,19,Medium,Yes
300152,35,Female,Hispanic,11,Felony_Mid,Unemployed,No_HS,Widowed,No,Yes,47.6,4744,45,High,No
300153,67,Male,White,9,Felony_Low,Employed,Graduate,Widowed,Yes,No,75.2,4922,43,High,No
300154,18,Male,White,2,Felony_Low,Employed,Some_College,Widowed,No,No,52.1,500,45,Medium,No
300155,22,Male,White,6,Misdemeanor,Employed,High_School,Widowed,No,Yes,33.7,6973,23,Medium,No
300156,22,Male,White,2,Felony_Mid,Employed,High_School,Divorced,Yes,No,58.8,9185,37,High,No
300157,33,Female,Hispanic,8,Misdemeanor,Unemployed,Bachelors,Married,Yes,No,48.9,8673,48,High,No
300158,38,Male,White,5,Felony_Mid,Unemployed,High_School,Widowed,No,No,76.5,6086,34,High,No
300159,63,Male,Black,0,Felony_High,Part-time,High_School,Single,No,No,18.4,5901,59,High,No
300160,19,Male,White,4,Felony_Low,Unemployed,Some_College,Single,No,Yes,93.3,9908,39,High,No
300161,52,Male,White,11,Felony_Low,Employed,Graduate,Widowed,Yes,No,42.3,3310,27,High,No
300162,50,Male,Asian,7,Misdemeanor,Employed,No_HS,Single,Yes,Yes,46.5,8328,54,High,No
300163,61,Male,Hispanic,0,Felony_High,Employed,High_School,Widowed,No,No,2.1,14189,29,High,No
300164,30,Male,White,0,Felony_High,Unemployed,Bachelors,Single,No,No,43.3,500,54,High,No
300165,22,Female,Black,4,Felony_Low,Employed,High_School,Divorced,No,No,110.5,851,40,High,No
300166,68,Female,Hispanic,11,Felony_Low,Employed,Bachelors,Married,No,No,70.1,7535,23,High,No
300167,47,Male,Black,12,Misdemeanor,Employed,No_HS,Married,No,Yes,48.3,5857,26,High,No
300168,59,Male,Black,1,Felony_High,Employed,Some_College,Widowed,No,No,38.3,3039,46,High,No
300169,19,Male,White,7,Felony_High,Employed,High_School,Widowed,No,No,51.9,6637,24,High,No
300170,60,Male,Other,1,Misdemeanor,Employed,Bachelors,Married,Yes,No,65.3,500,18,High,No
300171,57,Male,Asian,9,Felony_Mid,Unemployed,Bachelors,Divorced,Yes,No,73.3,1360,18,High,No
300172,24,Male,Black,2,Felony_High,Part-time,High_School,Single,Yes,No,41.2,10083,46,High,No
300173,60,Male,White,5,Felony_Mid,Employed,High_School,Divorced,Yes,No,92.9,6930,19,Medium,Yes
300174,52,Female,Hispanic,1,Felony_Mid,Employed,Graduate,Widowed,Yes,No,38.3,7395,7,Medium,No
300175,30,Male,Black,2,Misdemeanor,Employed,High_School,Single,Yes,No,78.5,500,4,Medium,No
300176,48,Male,White,4,Felony_High,Unemployed,Some_College,Divorced,Yes,Yes,11.5,5934,38,High,No
300177,42,Male,Black,6,Misdemeanor,Unemployed,Bachelors,Widowed,No,No,27.1,7215,49,High,No
300178,37,Male,White,10,Felony_Low,Employed,Bachelors,Married,No,No,38.8,6262,34,High,No
300179,58,Female,Black,1,Felony_Mid,Employed,No_HS,Divorced,Yes,No,32.1,3349,48,High,No
300180,57,Male,Hispanic,3,Felony_Low,Unemployed,Bachelors,Married,Yes,No,0.9,1444,13,Medium,No
300181,27,Male,Asian,5,Felony_Low,Employed,Some_College,Divorced,Yes,Yes,67.9,5178,50,High,No
300182,57,Female,White,2,Misdemeanor,Employed,Some_College,Single,No,No,44.2,12059,11,High,No
300183,68,Male,White,3,Misdemeanor,Unemployed,High_School,Widowed,No,No,35,500,29,Medium,Yes
300184,51,Male,White,7,Felony_High,Unemployed,Bachelors,Married,No,Yes,6.4,2519,49,High,No
300185,50,Female,Black,1,Felony_Mid,Unemployed,Some_College,Widowed,No,No,81.8,4806,48,High,No
300186,34,Female,Hispanic,5,Felony_Low,Unemployed,Some_College,Divorced,No,No,79.3,2198,27,High,No
300187,61,Male,Black,10,Felony_Low,Unemployed,Bachelors,Married,Yes,No,36.8,500,15,High,Yes
300188,29,Male,White,7,Felony_Mid,Employed,High_School,Single,No,No,0,11263,59,High,No
300189,27,Female,White,1,Felony_High,Unemployed,No_HS,Widowed,No,No,0,4267,4,High,No
300190,54,Female,Hispanic,6,Misdemeanor,Employed,Some_College,Single,No,No,33,500,15,Medium,No
300191,69,Male,Black,12,Misdemeanor,Part-time,No_HS,Divorced,No,No,99.4,1253,55,High,No
300192,62,Male,Hispanic,5,Felony_Low,Employed,No_HS,Single,No,Yes,28.6,6718,45,High,No
300193,53,Male,White,8,Felony_Low,Unemployed,High_School,Widowed,Yes,No,42.2,7561,28,High,No
300194,30,Male,White,4,Felony_Mid,Part-time,High_School,Single,No,No,61.6,500,55,Low,Yes
300195,63,Male,Black,9,Misdemeanor,Unemployed,Some_College,Married,Yes,No,54.2,2413,29,High,No
300196,40,Male,Black,10,Felony_Low,Unemployed,Some_College,Married,No,Yes,87.5,10176,50,High,Yes
300197,61,Male,White,12,Misdemeanor,Employed,Graduate,Widowed,Yes,Yes,107.9,7694,27,High,No
300198,62,Male,Hispanic,1,Felony_Mid,Employed,High_School,Single,Yes,No,51.9,3072,50,High,No
300199,62,Male,White,9,Felony_Mid,Part-time,Some_College,Single,No,No,36.8,8156,25,High,No
300200,69,Male,White,2,Misdemeanor,Employed,Some_College,Single,Yes,No,85.7,4188,39,Medium,No
300201,56,Female,White,12,Felony_Mid,Employed,Some_College,Widowed,No,Yes,96.4,6161,25,Medium,No
300202,29,Male,White,4,Misdemeanor,Unemployed,High_School,Divorced,No,No,77,500,10,High,No
300203,33,Male,Hispanic,5,Misdemeanor,Employed,No_HS,Single,Yes,No,21.9,1932,58,High,No
300204,68,Male,Hispanic,0,Felony_High,Employed,No_HS,Single,No,No,81.9,9929,12,High,No
300205,55,Female,White,8,Felony_Mid,Self-employed,Graduate,Divorced,No,No,70.9,649,54,Medium,No
300206,52,Female,White,8,Misdemeanor,Part-time,Bachelors,Single,No,No,71.7,10884,20,High,No
300207,49,Male,Hispanic,6,Misdemeanor,Self-employed,High_School,Divorced,No,No,71.4,3690,22,High,No
300208,60,Female,White,8,Felony_Low,Unemployed,High_School,Widowed,No,No,56.8,4535,35,High,No
300209,46,Male,Other,1,Felony_Mid,Unemployed,Bachelors,Widowed,No,No,76.8,3560,14,Medium,No
300210,31,Female,White,3,Felony_Mid,Employed,High_School,Divorced,No,No,27.7,14368,50,High,No
300211,23,Male,White,5,Felony_Mid,Unemployed,High_School,Widowed,No,No,24.6,2663,39,High,No
300212,46,Male,Black,8,Felony_Mid,Employed,Bachelors,Single,No,Yes,30.7,1657,37,High,No
300213,40,Male,Black,0,Misdemeanor,Employed,High_School,Married,No,No,57.1,1354,26,High,No
300214,35,Female,White,5,Misdemeanor,Unemployed,Bachelors,Divorced,No,No,54.5,500,41,Medium,No
300215,58,Male,Black,10,Felony_High,Employed,Some_College,Divorced,No,No,17.2,7063,46,High,No
300216,30,Male,Asian,1,Felony_High,Unemployed,High_School,Single,Yes,No,52.6,7871,2,High,No
300217,59,Male,Asian,0,Misdemeanor,Employed,Bachelors,Divorced,No,No,93,10550,30,Low,No
300218,60,Male,Black,10,Felony_Low,Part-time,High_School,Married,No,No,67.1,3461,24,High,No
300219,19,Male,White,11,Misdemeanor,Part-time,High_School,Single,No,Yes,95,2129,55,High,No
300220,70,Male,White,9,Misdemeanor,Employed,No_HS,Married,Yes,Yes,63.2,2549,25,High,No
300221,64,Male,Black,5,Felony_Mid,Employed,Some_College,Widowed,No,No,65.4,10125,15,High,No
300222,70,Male,White,8,Misdemeanor,Part-time,Some_College,Married,No,No,61.8,7289,26,High,No
300223,62,Female,White,8,Misdemeanor,Employed,Graduate,Divorced,No,No,36.4,2844,55,Low,Yes
300224,20,Female,Asian,1,Felony_Low,Unemployed,Some_College,Widowed,No,Yes,58.6,5735,48,Medium,No
300225,54,Female,Hispanic,11,Misdemeanor,Unemployed,Some_College,Widowed,Yes,No,26.8,500,60,Medium,Yes
300226,56,Male,White,7,Misdemeanor,Employed,Some_College,Widowed,Yes,No,21.5,3619,11,High,Yes
300227,22,Male,White,11,Misdemeanor,Part-time,High_School,Single,No,No,66.8,2286,8,Medium,No
300228,52,Female,Hispanic,7,Felony_Low,Part-time,Some_College,Married,No,No,7.8,1794,8,High,No
300229,44,Male,White,7,Misdemeanor,Employed,Bachelors,Married,No,No,45.7,500,15,Medium,No
300230,34,Male,White,5,Felony_Low,Unemployed,High_School,Married,No,No,49.5,3450,24,High,No
300231,21,Male,White,12,Misdemeanor,Employed,Graduate,Married,No,No,76.9,10938,36,High,No
300232,60,Male,Black,1,Misdemeanor,Part-time,High_School,Divorced,No,No,5.6,4332,5,High,No
300233,63,Male,White,8,Felony_Mid,Employed,Graduate,Married,No,No,58.4,9892,27,High,No
300234,44,Male,White,0,Misdemeanor,Unemployed,Some_College,Widowed,No,Yes,31.6,8052,6,Low,No
300235,50,Female,Black,5,Misdemeanor,Employed,Some_College,Married,No,No,51.4,9567,47,High,No
300236,20,Female,Hispanic,1,Felony_Mid,Part-time,Graduate,Married,Yes,No,76.2,6830,9,Medium,No
300237,23,Male,Hispanic,8,Felony_High,Employed,Some_College,Widowed,No,Yes,47.9,8701,34,High,No
300238,61,Female,White,8,Felony_Low,Self-employed,Bachelors,Single,No,No,42.2,4657,16,Low,No
300239,41,Male,White,6,Felony_High,Part-time,High_School,Married,No,No,72.1,7634,55,Medium,No
300240,34,Female,White,11,Felony_Low,Unemployed,Some_College,Widowed,No,No,23.4,500,37,High,No
300241,49,Female,White,7,Misdemeanor,Employed,High_School,Widowed,No,Yes,26.2,5435,20,High,No
300242,66,Male,Black,3,Felony_Low,Unemployed,Graduate,Married,No,No,89.1,5206,27,Medium,No
300243,33,Male,White,7,Felony_Low,Employed,No_HS,Single,No,No,37.6,2331,43,High,No
300244,65,Male,White,1,Misdemeanor,Employed,Some_College,Married,Yes,Yes,57,4819,7,High,Yes
300245,45,Female,Asian,2,Felony_Low,Unemployed,Some_College,Married,No,No,48.3,8680,52,High,No
300246,69,Male,Hispanic,5,Felony_Mid,Employed,High_School,Single,No,No,21.2,7214,60,High,No
300247,38,Female,White,2,Felony_Mid,Self-employed,Bachelors,Widowed,No,No,76,9717,59,Medium,No
300248,25,Female,White,12,Felony_Mid,Employed,Some_College,Single,No,No,39.5,12241,10,Low,Yes
300249,42,Male,Black,12,Felony_Low,Employed,No_HS,Married,No,Yes,76,500,33,High,No
300250,34,Female,Black,3,Felony_Low,Unemployed,No_HS,Widowed,No,No,16,9282,36,High,No
300251,19,Male,Black,3,Felony_Mid,Unemployed,Some_College,Widowed,Yes,No,42.2,2545,14,High,No
300252,55,Female,Hispanic,7,Misdemeanor,Employed,High_School,Widowed,Yes,Yes,49.8,500,37,High,No
300253,35,Male,Hispanic,9,Felony_Low,Unemployed,High_School,Divorced,No,No,19.5,2981,30,High,No
300254,63,Female,Black,2,Misdemeanor,Employed,No_HS,Married,No,No,40.6,8777,25,High,No
300255,18,Male,Asian,2,Felony_High,Unemployed,No_HS,Widowed,No,Yes,23.7,3411,46,High,No
300256,54,Male,White,4,Felony_Low,Employed,Bachelors,Single,No,No,34,3592,58,High,No
300257,67,Male,White,9,Misdemeanor,Part-time,Some_College,Married,No,Yes,58.7,2608,39,High,No
300258,40,Male,Other,5,Felony_Low,Employed,Bachelors,Married,No,No,76.8,9173,15,High,No
300259,34,Male,Black,2,Felony_Mid,Employed,High_School,Widowed,No,No,95.8,500,15,High,No
300260,48,Male,Hispanic,12,Felony_Low,Employed,Bachelors,Widowed,No,No,64.5,5810,27,High,No
300261,22,Male,Black,7,Felony_Mid,Employed,High_School,Single,Yes,No,64.3,5740,48,High,No
